Fertilizer,temp,N(ppm),P(ppm),K(ppm),yeild
79.9475208,27.95524801,80.13285906,24.02539171,20.24836677,11.99956433
80.136136,28.06828035,79.96273241,24.1652823,20.1550828,12.06075047
77.96526344,26.99310148,77.97377053,23.03648972,19.00302804,11.98107258
77.86353831,27.11836094,77.97730882,23.18073445,19.07873465,12.06060618
79.9362441,27.83007366,79.93477277,24.1084852,20.01075315,12.0224949
80.01215416,28.15361985,80.16938016,24.02838291,19.92738046,11.97294441
80.1674162,28.21094777,79.80942026,24.01059121,19.97703878,11.88118686
77.97565187,27.04953945,77.91230174,22.97949185,18.94701091,12.15614801
80.16360984,25.97376063,80.15246693,24.0510105,19.95498399,12.04200001
80.22389341,27.95507129,79.91571478,23.96395237,20.12420338,11.95402315
80.04451993,28.03254869,79.88375954,24.04521836,19.9415125,11.97870612
77.08361869,27.06509146,77.9969238,22.88924125,20.10633638,12.07226842
80.0223868,27.9586156,79.92240521,23.97686556,20.00352849,11.89362273
77.91253102,26.92551075,77.913782,23.14023442,19.10033364,12.00523048
80.07983565,28.02263439,79.99467671,23.85628954,20.05403922,11.96211862
79.84327191,27.99354916,80.10083943,24.03653104,20.03122674,12.00113848
80.07473738,25.87124015,80.00572872,23.99595967,19.94028601,12.08209315
78.15738734,26.88563138,78.06364708,23.02210289,19.10097821,11.9333606
79.89280957,27.88673658,79.96676744,24.08061943,19.94497409,11.93806084
80.07347245,28.01768009,79.97352417,24.20507075,20.03747983,11.96922062
77.235754,27.07643473,78.02516254,22.94271271,20.07765615,12.08363636
79.86595794,28.04480176,80.14019811,23.74143496,20.00574642,11.9141639
76.84075548,26.91232348,77.92937737,23.0268662,19.87974998,11.83206667
74.99658772,26.01932495,74.95682754,21.94704139,19.04476324,11.9726576
79.89342989,28.1667566,79.94140746,24.07554143,19.87207297,12.01075179
76.88665633,26.84061042,78.09227388,22.82338894,20.02648341,12.03975245
80.08538239,26.13459055,79.94264481,23.92675151,20.10670316,11.86650357
79.83893364,26.05190321,80.10643992,24.00600435,20.10230027,12.08319187
79.99630823,27.90714269,79.96766235,24.11962585,20.13855904,12.08612792
79.96619183,27.9640399,80.02952487,24.02050961,20.17953977,12.09453964
76.9623792,26.93428891,78.04795224,23.04562101,19.88370313,12.00296993
77.96464097,26.87647454,77.99108992,23.0208928,18.96025209,12.01041396
80.06962286,27.93735205,79.93531009,23.84705105,19.95288794,12.09808973
77.0034143,26.99383213,78.0459334,23.06484091,19.87593178,11.94102683
77.9762626,26.79885333,78.04747243,22.97744238,19.00836686,12.21544953
79.82850066,28.14458639,79.96461221,23.97877851,20.08131526,11.93218346
76.98625686,27.00142772,78.0856034,22.99589659,20.1455427,11.84131408
77.86418923,26.98809382,78.00995128,23.09030955,18.88805535,12.04702279
77.17837194,27.23138141,77.94766454,23.12672844,19.96228054,11.92567069
80.07672983,28.03677245,79.84518763,23.98001498,19.95522399,12.04250599
79.93668891,28.108717,79.88447416,24.04349772,20.09481617,12.05696597
80.02707981,27.84249923,79.89882235,24.00584576,19.97521384,12.03818615
80.08099258,27.99078577,79.99555845,24.05500182,20.29050505,11.88110487
76.99429997,27.15560633,77.98464232,23.12323463,19.97617996,12.08241369
80.10347962,28.05501008,79.98053159,23.96463744,20.05130235,11.93976586
80.11138321,28.04311631,79.94587714,23.77655219,19.94421306,12.02479785
80.15817147,27.86784393,79.83154334,23.96629914,19.85877331,11.91287172
79.83081035,28.1585366,80.04101192,23.96682137,20.04637707,11.95615152
77.89823981,27.09899433,77.91701716,23.03709938,18.98522979,11.74495496
80.12077878,28.14725553,79.93729626,23.90635591,19.98243655,12.1146087
79.9350676,28.22338459,79.97583416,24.04837955,20.15523689,12.10139285
79.94772915,27.86058242,79.78542738,24.05667821,19.90954691,11.86398162
80.09851301,27.97379503,79.99064286,24.03793234,19.8556302,11.98837675
76.87948589,27.01063759,78.1565608,22.83231801,20.01826058,11.78747447
75.07412063,26.0610307,75.14803956,21.877397,18.99863735,11.97110337
79.88858562,28.06325062,80.02735084,24.07961433,19.85554991,11.92972542
79.93310883,27.95406837,79.94762268,24.00635662,19.97875928,12.15803817
74.99153522,25.98300489,75.03374664,22.05089177,18.83306396,12.17838897
80.02525152,27.98900371,79.83958255,23.96004114,19.90581504,12.11715751
79.92080928,27.95087246,80.03139766,23.98347048,20.12845896,12.18370542
80.04972099,28.00749704,80.03024116,24.02011022,19.89142414,11.99915994
80.09794172,27.99978282,79.93311463,23.94404421,20.02674933,12.15980489
79.98654812,27.9693325,80.09112008,24.08105662,20.02512595,12.09113989
79.99520323,28.07778277,80.01697584,24.00624475,19.94813616,12.07050957
78.1579434,26.89381906,78.03809641,23.26313871,19.1604818,12.1076933
80.03118492,26.2033035,80.01909948,23.94295608,20.15240098,11.92366601
75.10615157,26.01338034,75.00826369,21.97445031,19.06296139,11.82814653
77.04771329,27.2008737,77.92949737,22.88324529,19.81119208,12.12809087
79.92283309,25.86564511,79.92890471,24.1532981,20.00678929,11.88091289
79.84145285,28.07418247,80.06923826,23.97670893,19.99032415,11.80057975
76.99537937,26.95414803,78.1275115,23.02373863,20.05033119,11.99597117
79.96066475,25.97878247,80.13714631,23.95550509,20.02356871,12.07744921
79.86346212,27.95562621,80.01642458,24.08058269,19.8923735,12.03298638
80.05543762,26.01936451,80.08791708,23.8513623,19.79403978,11.8377477
79.88805016,27.91113493,80.03709619,24.00786443,20.1874991,12.12321037
79.90315907,28.0059649,80.2187045,24.20545186,19.92725719,11.97718517
80.18969068,27.90612707,79.93976214,23.9653069,20.04334711,12.11061689
79.97706013,27.93699178,80.05232289,24.15708134,20.06752171,12.09814969
79.81283792,27.89578123,79.91683026,24.05735205,20.02119905,12.00921743
80.11155558,28.23879298,79.97198802,24.1060286,20.06526691,12.26435843
77.99925889,27.02838757,77.86900119,23.01127793,19.00475817,12.11412263
80.15022369,28.08062264,80.01747783,23.90655342,20.14986129,12.05517272
75.02287225,26.1133824,75.02980013,22.00482224,19.06974341,11.88645703
77.99231927,26.83597725,77.82320337,22.90801331,18.98791011,12.04562493
78.01980446,26.93732591,78.02345993,22.85344968,18.94241794,11.88873889
78.04663406,27.13086109,77.87814187,23.19534843,18.97367079,11.92936601
80.02630483,27.87223049,80.12165636,24.05384142,19.84065406,11.99184939
79.84096675,28.12828076,79.9410117,23.9916231,19.94844815,11.92937575
79.95180532,27.9015859,80.11564984,24.12832008,19.82142053,11.94343354
74.99273587,25.94474777,75.01715905,21.95894625,19.02491069,11.77650507
80.15427658,27.95404856,79.96459885,23.91184705,19.97344971,12.04550327
80.16070328,28.11722974,79.94233591,24.07231999,19.94492625,11.94591834
76.91651126,27.23981288,78.0735507,22.94164869,19.84646434,12.14113714
76.83524933,26.88384335,77.96836346,23.09751858,20.22069257,12.10829124
74.85689619,26.05235706,75.0120243,21.8743346,18.98229629,12.05494016
79.90639035,28.066709,80.09552016,24.15675714,19.86532487,11.98893794
80.1578924,27.99159898,80.13736522,24.00945812,20.12230186,12.3376512
76.98723976,27.10676142,78.00202498,23.17064982,20.06142461,12.08536913
79.99333622,27.98980033,80.05054066,24.07440895,19.98501739,11.92094294
80.05250275,27.83750847,79.80271107,24.26074993,19.97493025,11.98791122
75.01812454,26.04375619,75.0313433,22.02684622,18.93582013,12.01066523
77.98832119,26.98623939,77.98669046,23.06006598,19.27272542,12.11995728
79.91576097,27.9133965,80.06801485,23.90035732,20.14719403,12.04509298
80.03196263,28.0624394,79.99262892,23.95693774,19.97795155,11.91349357
79.91741853,28.01078786,80.10427765,23.91968857,19.89806315,12.00749218
79.93696331,28.14969767,80.05835309,24.11712254,19.96836602,12.06603716
75.05422237,25.88142331,75.06213723,22.08903611,18.94603544,11.94966687
80.08013031,28.01529932,79.96224308,24.09451795,19.93929309,12.0398453
79.85599612,27.94248076,80.06415401,24.02291781,20.01450207,11.88707311
76.88359763,27.11691397,77.88183782,22.99427099,20.01644225,11.93359362
75.0152516,25.86120801,75.01194213,22.04169233,18.93382509,12.15859946
80.01583327,28.00245171,80.02255902,23.97073421,19.84146584,11.96333471
79.97989305,28.02213367,79.94468042,24.11621357,19.91016267,12.08427169
74.95066251,25.76332084,75.01443348,21.97470581,19.09848953,12.08792106
79.94544124,28.07483349,80.15995906,23.72284371,19.95198774,12.03004091
75.00409228,26.00629162,74.8610834,22.14632585,18.91567124,11.90073508
76.99686551,26.99694945,77.99450838,22.98168048,19.96217532,11.81940336
77.13054493,27.04043654,78.07404316,22.92061693,19.95870348,11.93479263
80.08875442,25.99685488,80.03122902,23.9557466,19.98887776,12.02952782
80.13007837,28.07607767,80.00628808,23.9303526,19.95534111,11.86207676
79.90279179,28.00068988,80.11958119,24.0487705,20.10697868,12.06332091
80.05553363,28.06451504,79.91509989,23.95189631,20.05234953,11.98892135
80.18582257,27.99289606,80.1029487,24.05366799,19.92137065,11.84750487
79.88769322,27.79857436,79.97974009,24.10531512,19.97286119,12.09488048
79.99714217,27.90540811,79.81996932,23.94500211,19.97130405,12.06439467
80.16900265,27.86098316,80.06846665,23.97471423,19.97449303,11.98651182
80.06481038,27.7932214,80.05482639,23.9511672,20.10527213,11.81728892
79.92342378,27.82318385,79.80166475,24.05192211,20.03996338,11.8961821
80.14888988,28.01726233,79.96870405,23.9880558,20.05236864,11.90474676
79.79558696,28.15792758,80.04579203,23.99528355,19.97343954,11.97650714
79.86554752,28.1148791,80.05258233,23.87712714,19.97067562,12.06045422
79.95021331,28.17124647,79.9714425,24.06582862,19.96480557,11.9461871
79.8889808,26.03730817,79.97675486,24.09622043,19.93252294,11.99445711
75.1208556,25.89148551,74.96843185,22.01785687,18.95245212,11.90846663
75.14230545,25.90140417,75.12013061,21.96218593,19.01918801,11.91191539
80.04938852,25.86439229,80.04080632,24.05019444,19.90769609,11.88846824
80.10953482,27.90133817,80.04681621,23.84013483,20.11910659,11.94679602
77.00755845,27.00039916,77.95349096,22.88807671,20.08985589,12.21354559
79.96190462,27.99925097,79.79734248,23.77682059,19.91039446,11.97621654
79.96300929,28.02397782,79.98729443,23.73175477,20.0364435,11.91124335
80.07639404,27.93979044,80.11371768,23.89633255,20.09839313,11.85590217
80.15973025,27.97214761,80.01579236,24.05572337,20.07396259,11.93432289
80.04348956,27.78879712,79.91147796,23.97101367,19.8775052,12.10923797
77.12696185,27.07493344,78.08343777,23.03509821,19.90901545,12.02156438
79.83743063,28.1662675,80.05342362,23.98573619,19.83698948,12.12921641
80.16024237,28.02340051,80.07926709,23.84461096,20.06665487,11.96754242
79.97079256,25.93026384,80.00612692,24.16275266,19.97193064,11.9191477
78.0645585,26.87269003,78.0530946,23.01368725,18.99497252,12.03446931
74.9375864,25.97720728,75.13807092,22.10720279,19.00007124,11.90163215
77.96360879,26.9251452,78.07363095,22.95820863,19.05555139,11.89110716
77.91548287,27.14004862,77.98452068,23.04689679,19.00675067,11.96532444
80.02597331,28.15719259,80.08604996,24.04431026,20.13062026,12.02442835
75.04482036,25.9745555,74.97896867,21.99336961,18.85738514,11.76058996
74.94323868,26.05730923,74.90997978,21.86514391,18.75097617,12.27883771
79.97729067,27.936836,79.94542391,24.04589696,19.97432599,11.92101107
79.89943569,27.89751833,80.00197332,23.94679399,20.09568875,12.04162776
75.1384726,26.0494163,74.90799823,21.85736128,18.96046663,11.95153767
80.11472331,27.97696884,80.03102104,23.95880463,20.02594133,12.04779563
60,36,70,20,18,8
55,38,65,19,17,8
58,37,66,22,18,8
60,38,68,22,18,8
65,38,60,20,16,8
70,36,72,25,18,8
60,39,70,20,17,8
65,38,60,20,16,8
65.05731727,38.02254754,59.92359675,20.02081957,16.05925731,7.873815744
54.97882171,37.96085164,65.042142,19.00558316,16.8388759,7.978091026
65.09164092,37.96922211,59.99440532,19.92886157,15.97171578,8.138741943
55.03523919,38.00229042,65.06298485,19.00726792,16.93819438,7.825691466
59.95572444,36.14413908,70.10727097,19.92951884,18.02690644,7.982282483
60.09221256,39.00811684,69.95298211,19.98827186,16.97159006,8.055495472
65.01785958,38.00118323,60.05469982,20.09305475,16.07442903,7.880878182
54.98261744,37.87716886,65.06411672,18.95754914,16.86274182,8.109489786
60.00731755,39.01484337,69.93278136,19.85467636,16.97368977,7.980075786
65.0776459,38.00081124,60.00673556,19.86813864,15.93831676,8.164144196
59.97911451,36.04615568,69.93903615,19.88361539,17.92297887,8.143130593
65.03415033,38.00105329,59.80682291,20.00553099,15.95497228,8.13812736
65.10565514,37.95077137,60.1705547,20.01605925,16.11300288,7.985397419
60.00517118,38.03230133,67.95801024,21.80171818,17.89665417,8.03422776
70.05710128,36.15552011,72.05381231,24.97813686,17.94744759,8.021890494
65.05049275,37.98032174,59.87269435,20.09576623,15.95384207,7.782090174
59.99217395,39.00402903,69.88049799,19.95086487,17.03100348,8.106169129
54.81240793,38.02932129,64.94486008,18.70766754,17.10149852,7.973254816
54.89255968,37.88390958,64.91533469,19.10756549,17.01386709,8.081988932
55.23028382,38.11665252,65.00300969,18.88189116,17.02327705,7.991401364
59.97804831,38.95966031,69.82097649,20.00621556,16.97763296,8.183644332
57.89439398,37.02092663,66.15280948,22.09147127,17.83004692,8.015939055
60.0641145,39.05790314,69.85102814,20.03751312,17.03630913,8.257055625
64.9419375,38.00073245,60.10027815,19.87443773,16.13014135,7.971221014
70.09067095,35.99969203,72.09007897,24.88970757,18.15521023,7.951153611
55.14965223,38.06220024,65.13158786,18.94604628,17.03180566,8.023239603
59.94790395,36.09926818,70.07148806,20.04713979,17.9377497,8.108252562
60.10049824,38.96240004,70.11712803,20.0976102,16.92138974,7.981316042
60.06991419,35.97975772,69.91124985,20.05115377,17.92283148,8.036543227
58.11632252,37.04533537,65.8682256,22.19708883,18.07466642,8.163907807
60.02823515,38.08872572,68.03407453,22.08802156,18.1979611,8.062151519
65.0216988,38.14285918,59.93218091,19.78372915,16.01513784,8.107339143
60.03174666,38.97981833,69.96882195,20.02555224,16.99740477,7.948601239
58.06462344,36.98898411,65.91406405,21.92571657,17.7952784,7.951333403
65.01422446,38.18288014,59.93301475,20.05633905,15.83449962,8.131454886
59.91300468,39.09441006,69.97094203,20.16758156,16.95896518,8.111708551
59.93151348,38.0660202,67.83989234,21.9893802,17.93549625,8.105847116
59.99671602,38.00853986,68.00008567,21.89529528,18.10565064,7.925569099
64.98619617,38.09559478,59.97477904,19.94418336,16.01504998,7.935975901
58.08748795,37.00060959,66.03816699,21.99487149,18.04281614,7.808198098
54.98453977,38.1073774,64.94671557,18.98829207,17.22038441,8.146637658
69.97330396,35.86845249,71.96202505,25.0420267,18.13717788,8.022114006
59.91155188,39.03239324,70.0137879,20.07308148,17.10306984,7.957379973
59.96040107,35.90354229,69.89034402,19.88534428,18.03832324,7.888714387
60.00626359,37.99902815,67.90825355,21.87997391,17.91165322,7.92728835
65.10891914,38.12978386,60.07514805,19.99177896,16.04945416,8.101570372
64.8355918,37.99185576,59.93377614,19.94383927,15.84478696,8.245685408
58.11050908,37.0385023,66.00953635,22.14502564,18.09286578,7.882232054
69.99691014,36.01211483,71.99172787,24.88629276,17.99566884,8.110344291
60.02274985,36.0996179,70.06740813,19.78904784,18.15850321,7.858042657
54.92970875,37.79208016,64.89818248,19.04480746,16.90760755,8.109950329
69.95255648,35.83988516,71.9637152,25.05521619,18.06874774,8.041278593
70.00296513,36.07145906,71.99345515,25.16217841,17.97853841,7.934002096
58.13779087,36.92057148,65.95085005,22.11695564,17.9831051,7.780374394
58.12799373,37.21046025,65.91964657,21.86860933,18.01240652,8.18652011
55.06062392,38.01893108,64.95231196,18.90051302,16.92774348,8.060313747
65.08238216,37.96823466,60.00393369,20.08900853,15.9024967,7.83117559
65.20175471,38.04896928,60.05850415,19.98093696,15.93729248,7.916101204
58.06062814,36.87418718,66.12370476,22.05729397,17.90353056,8.142882937
55.11096137,38.07882389,64.8842223,18.94641473,17.09254658,7.887982604
64.980736,38.07340172,60.08073736,19.85355837,16.02406044,7.90156982
59.91469204,39.0949326,69.92271988,20.14187915,16.93764494,8.099854059
59.93755358,35.91123035,70.08820038,19.97289869,18.04261135,8.040179205
58.02940244,36.98009641,66.01401871,21.85146207,18.06296152,7.927731189
65.01609403,38.0155579,60.04829887,20.0484096,15.8466443,7.817829144
59.95317792,38.82880975,69.98808205,20.05950403,16.95866502,7.865039622
65.1815997,38.00854891,59.84079358,19.87109248,16.00990046,8.21081772
59.90036535,35.84456193,70.00033892,20.12061677,18.14760674,8.061823368
65.03881622,38.12559928,59.82557188,20.07183143,16.05936595,7.863201507
65.04843545,38.15912747,59.95109255,20.03649148,15.96674034,7.990488124
60.06637735,35.94546038,70.12475583,20.06364657,17.98247976,8.080877275
65.05337761,37.91800755,59.93343386,20.084088,15.96759379,7.964632056
69.94621273,35.88560097,71.97086671,25.03155019,18.09556461,8.097792002
65.16105381,38.01450777,59.86332044,19.98271303,15.89959744,8.047432589
60.14099817,36.17410821,69.83469921,20.05725919,18.01601575,7.874698477
60.052917,36.05308173,69.94560321,19.95431084,17.96097156,8.010012932
64.89150394,37.95530897,59.8539729,19.96311403,15.9392482,8.036270508
60.1989439,38.12326004,68.03659755,21.89688715,17.99540878,7.979352544
60.04742656,36.08781732,70.05581584,19.91816013,18.07824819,8.141681895
57.97460971,36.97092483,65.9636971,22.01716206,18.02815175,8.087182868
70.04155208,35.93897468,71.95292954,25.06345022,18.05873166,8.092517498
64.99989334,38.15346957,59.97315056,19.96616928,15.9685411,8.037186354
60.07000168,38.28707254,68.03099718,21.89235103,18.01210295,7.944185454
60.03082451,38.82815867,69.90478303,19.88678981,16.98621463,8.166437258
65.17821739,38.07759184,60.07181876,20.08424054,15.94449771,7.973122002
60.11132369,35.93771038,70.13370274,20.01921367,17.98122742,8.138869846
60.02781562,39.065688,69.94300692,19.91782285,17.07574627,7.947003561
70.14002491,36.08180559,72.15194897,24.88371922,17.89252728,7.789632813
64.98867523,38.07374325,59.98035554,20.0097571,15.8780814,7.94253042
60.02231931,38.02590866,67.88737141,22.07294872,17.90156228,7.782024502
65.1166627,38.00256884,60.03949085,20.09283171,15.97596624,8.049078037
64.93085461,37.99642318,60.03377416,19.94323486,15.96658903,8.03433032
64.96744434,38.17519549,60.13321211,20.08644685,15.980974,7.859071661
70.06191892,35.89202377,71.91998835,24.86576949,18.04534037,7.922674315
59.84917849,35.99878448,70.05330348,19.8927104,17.98312363,8.114276235
54.78207791,37.93884523,65.09429286,18.89472843,17.09503483,8.172915269
60.09580035,38.98007995,69.89499136,19.9656525,16.92383625,7.929123329
64.96789299,38.08036063,59.88897553,20.03582912,16.15995431,8.101843554
57.96991448,36.90580477,65.99918184,21.95417325,17.94757146,8.068601084
55.09450475,38.02204477,64.9557905,18.92553644,17.03419427,7.921641168
65.0907247,37.96635806,59.95373759,20.01165627,15.90610952,8.029736098
64.98646997,38.27610756,60.02042765,19.88582567,15.9226374,7.929101024
59.94995186,37.90748964,68.10610229,21.98744471,17.90183128,8.042525383
57.97127936,36.91264307,66.0413565,22.12640845,18.14960069,7.875588106
57.96255782,37.05283863,66.09250752,22.00940595,18.03250339,8.192900276
69.97397682,35.95269951,71.98015412,24.94074271,18.06080495,8.110258751
59.97070342,37.96871317,67.94032003,22.07114245,17.98190751,8.046388404
65.24941736,37.96839542,60.00636636,19.89832514,15.77302776,7.867718141
59.97637524,39.14535644,70.09418629,20.11674423,17.09778477,7.927797591
69.97619488,36.09929299,71.99764587,25.05569754,18.03221687,7.953422534
59.79487436,38.94146964,69.97833715,19.96228491,16.98517956,7.973138616
69.97155635,35.93826553,72.03457443,24.91599985,18.18546569,8.040248553
64.92513418,37.94844334,59.9557693,19.97518449,16.08580005,8.099346686
70.23288702,36.02217466,72.01348618,24.93652194,18.02270063,7.950273394
64.99836546,37.87603111,59.84563209,20.10631716,15.97583082,8.076199423
60.06072052,37.9290973,68.06097687,22.01710819,17.91272589,8.052138585
65.13447924,38.10599285,59.95124798,20.10345563,16.15502476,8.089053631
59.84765668,35.75260001,70.08425905,20.01892363,17.96685509,7.94105292
60.13061093,36.10957355,70.14351037,20.02249516,17.87105662,8.005665247
55.08160328,37.7790944,65.15012146,18.94565804,16.95969102,8.065432284
55.01312593,37.92455168,64.99187519,19.03476306,16.93362497,8.075160909
60.01127909,35.99532895,70.03747022,20.07257057,18.00185992,7.83108347
57.99762621,37.01186294,66.01262133,22.04394809,17.9883933,7.979536966
57.92879915,37.19635615,65.90191252,22.00225241,18.06567284,8.049344551
57.95758963,37.00026313,65.96741959,22.27903342,17.86843873,7.899775956
60.2150037,37.9953545,67.82452885,22.01566343,17.86195132,7.964093211
64.9461387,38.01992971,59.93447372,20.00253718,15.9914402,8.143998512
60.025068,37.77293291,68.21720834,22.03823898,17.98535518,7.89282259
64.92413164,38.04864466,60.01117282,19.99674934,16.00327531,7.830364825
69.80022555,35.9950951,71.98331467,24.87333919,18.02085979,7.995749521
59.95877623,38.98931829,70.06257106,19.91178741,17.06477881,7.911658961
60.05206489,38.01821994,67.9942742,21.87991522,18.09636002,8.025757754
60.04262638,38.01301097,67.88064388,21.96777551,18.00973784,8.109164905
60.07596882,37.99256551,67.96799582,21.98313244,17.92986581,7.911765655
60.01295014,39.02479762,69.84796298,19.99135001,16.9503741,7.903186978
59.8952741,38.86731849,70.06470642,20.01773957,17.10554792,7.974038099
58.12584572,37.03307263,65.79774754,22.10093117,18.01487176,8.06985138
59.91916305,39.04278365,70.11280838,19.99014763,16.91426973,7.906875951
69.97963823,35.97341611,72.0229517,24.97418199,18.07300792,7.966498042
59.98267453,35.84097732,69.88878866,19.91911177,18.13596605,8.153802911
55.06639326,38.00351348,64.99774148,19.04401992,17.05324849,8.084529495
60.09424044,38.1307511,68.15439605,22.34563003,18.14120958,7.967701766
60.1917013,37.94606523,68.07023432,22.000734,18.22909436,8.022508995
60.07775228,37.87657177,67.959398,21.85604637,17.94113481,7.991956329
59.8880191,37.93598842,67.9750755,21.93765037,17.97684901,7.877789966
64.97718306,38.05279796,60.04117959,20.05858676,15.88629386,8.008484109
59.99634432,39.03173534,70.04076523,19.81814109,17.04583112,8.067037349
59.99595453,38.02077814,68.04516815,22.12055243,18.21888044,8.038326916
59.95007505,39.05494084,70.08446424,20.05761404,16.90560224,8.019875645
59.89778312,37.97067736,68.02856224,22.11300284,18.05549801,8.014017195
60.14103065,35.94003878,70.06971254,19.95195842,18.05636567,7.922444698
57.83551157,37.05454947,66.09750268,21.83005937,17.96627303,7.911761935
70.0780562,36.19419588,71.9715329,25.11523485,17.97434483,7.811800164
59.96119281,39.00807622,70.04202205,19.95684421,16.90867441,7.945946684
64.90402283,38.00924512,60.07050385,20.05860443,15.90474125,7.986902911
69.87583026,35.78731363,72.04731476,24.9311485,18.0275282,8.040084958
58.05794848,37.16150751,65.98715126,22.03432299,18.03892862,7.814728756
70.04667687,36.04642177,72.12657073,24.88995535,17.95226389,7.939536608
60.03271148,39.25282468,69.96763022,19.89872598,16.89378554,8.054050089
54.91906786,38.08078006,65.01201389,19.05692081,17.07603488,7.99913183
69.95746127,35.92743568,72.04478089,24.99170151,18.13778985,7.912229981
60.19186664,35.90072567,70.0415871,19.98948691,17.93747988,7.829712834
65.22069311,37.94942813,60.05785305,19.98785599,16.04542833,8.067933091
64.87532594,37.89722241,59.86702327,20.17274602,15.95491485,8.006996691
70.03290321,36.16025093,72.07619765,25.12001307,17.98189013,7.874784492
60.04597277,39.01432386,69.86263879,19.9278501,16.9366011,8.105232916
69.88321662,35.87533784,71.96441514,25.00161776,17.93957165,8.06322185
65.1028545,38.036414,59.86635664,20.13255592,16.06958055,7.944727732
60.06106121,38.03223335,68.11009354,21.99467607,17.96605299,8.023682023
59.98151145,38.10381223,68.18567969,22.09133238,17.97355777,8.028180851
59.93813809,35.84271655,70.04972938,19.81608741,18.02290346,8.131805765
69.962073,35.8663697,71.83198065,25.02519527,18.20593629,7.885081798
58.12320002,37.00108084,65.98821522,21.93784023,18.00393401,7.96787822
60.18464457,38.17913924,68.10883939,22.06301174,18.1197163,7.994965698
60.00971752,38.902623,70.14743593,20.01637742,17.04851694,8.181521055
64.94521643,37.88165844,59.95163987,19.84963531,16.08112584,8.033455166
60.14067546,36.23886287,70.06977326,20.03590814,18.15779717,8.002750599
64.83603538,37.94811588,60.05854963,19.94867302,16.05754156,8.014122924
60.10043459,37.87252208,67.99792202,22.03658449,18.02138605,7.786581052
60.02905558,38.79535222,69.97672659,20.04739483,16.99957949,8.086232072
59.96883497,38.20957936,67.94813742,21.97029375,18.24898945,7.873258236
60.02819467,38.04171109,68.04344684,21.85755422,18.09477872,7.853917213
64.93803439,38.20140663,60.15639127,19.88984193,15.89583497,7.75901062
70.06432913,36.06389902,71.83867157,24.90967377,18.12015372,8.014385261
58.18453502,37.06807617,66.20277757,22.00823619,17.98277983,8.033660315
70.08022229,35.85847483,71.88399114,25.07405604,18.00330891,8.042302217
70.03754058,35.99409037,71.94800352,25.08894722,18.10496432,7.96274068
69.96495156,36.20372581,72.03184997,24.91971181,18.04523825,7.948148953
64.89688415,38.0883469,60.0006408,20.09931535,15.83910926,7.877522739
59.90564281,36.08274345,69.95631625,19.93181895,18.04632823,8.019126215
57.91189966,36.983765,66.05505009,22.02323385,18.03475882,8.232294848
